# Title: Urban Trial Freestyle
# ID: PCSB00038
# Region: EU
# Version: 1.00
# Type: NoNpDrm
# Note: [noaslr.skprx] Plugin
# only for VitaCheat z06 and FW 3.65+
# Code Author: tomberyx

# PCSB00038 

_V0 Hold UP to Fly
$B200 00000001 00000000
$C201 00000001 00000110
$3201 00247278 00000114
$0000 00000000 43C4BABE
$C201 00000001 00000210
$3201 00247278 00000114
$0000 00000000 43C4BABE
$C201 00000001 00000010
$3201 00247278 00000114
$0000 00000000 43C4BABE

_V0 Mega Speed 1 [push Right]
$B200 00000001 00000000
$C201 00000001 00000020
$3201 00247278 00000110
$0000 00000000 C5000000
$C201 00000001 00000020
$3201 00247278 000000DC
$0000 00000000 3F800000

_V0 Mega Speed 2 [use D-PAD]
$B200 00000001 00000000
$C201 00000001 00000080
$3201 00247278 000009CC
$0000 00000000 C3000000
$C201 00000001 00000020
$3201 00247278 000009CC
$0000 00000000 43200000
$C201 00000001 00000080
$3201 00247278 000000DC
$0000 00000000 3F800000
$C201 00000001 00000020
$3201 00247278 000000DC
$0000 00000000 3F800000

_V0 Instant Brake [hold Down]
$B200 00000001 00000000
$C201 00000001 00000040
$3201 00247278 00000110
$0000 00000000 00000000
$C201 00000001 00000040
$3201 00070BA8 000000DC
$0000 00000000 3F800000

_V0 Time-Freeze
$B200 00000001 00000000
$3202 00070B1C 000007B8
$0000 00000000 0000001C
$0000 00000000 00000000

_V0 Light-Speed [push Select]
$B200 00000001 00000000
$C101 00000001 00000001
$3201 00247278 00000110
$0000 00000000 C6000000

_V0 Low Gravity [hold X
$B200 00000001 00000000
$C201 00000001 00004000
$3201 00247278 00000114
$0000 00000000 42480000

_V0 Super-Flip [push UP-Down]
$B200 00000001 00000000
$C201 00000001 00000010
$3201 00247278 0000011C
$0000 00000000 41A00000
$C201 00000001 00000040
$3201 00247278 000000DC
$0000 00000000 3F800000

_V0 Player-Size [use D-Pad]
$B200 00000001 00000000
$C201 00000001 00000010
$3201 00247278 00001A7C
$0000 00000000 3FD00BAD
$C201 00000001 00000040
$3201 00247278 00001A7C
$0000 00000000 3F38C000
$C201 00000001 00000020
$3201 00247278 00001A7C
$0000 00000000 40800000
$0000 00000000 00000000
$B200 00000001 00000000
$C201 00000001 00000080
$3201 00247278 00001A7C
$0000 00000000 3F800000

_V0 Bike-Size [Long-Bike] A
$B200 00000001 00000000
$0000 00000000 00000000
$3201 00070B10 0000006C
$0000 00000000 3F800000
$3201 00070B10 000001FC
